Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2023,CR-V EX-L,"$36,900 ",Blue,AWD,Gasoline,1.5L Turbo,1,Dealer
2023,CR-V EX-L,"$36,900 ",Blue,AWD,Gasoline,1.5L Turbo,11,Dealer
2023,CR-V EX,"$34,250 ",Red,AWD,Gasoline,1.5L Turbo,1,Dealer
2023,CR-V EX-L,"$36,900 ",Red,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX,"$34,241 ",Red,AWD,Gasoline,1.5L Turbo,10,Dealer
2023,CR-V EX,"$32,535 ",Red,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX,"$34,860 ",Red,AWD,Gasoline,1.5L Turbo,1,Dealer
2023,CR-V EX,"$33,750 ",Red,AWD,Gasoline,1.5L Turbo,180,Dealer
2023,CR-V EX-L,"$37,450 ",Red,AWD,Gasoline,1.5L Turbo,0,Dealer
2023,CR-V EX,"$34,050 ",Red,AWD,Gasoline,1.5L Turbo,33,Dealer
2023,CR-V EX-L,"$36,900 ",Red,AWD,Gasoline,1.5L Turbo,8,Dealer
2023,CR-V EX,"$34,250 ",Red,AWD,Gasoline,1.5L Turbo,10,Dealer
2023,CR-V EX,"$34,860 ",Red,AWD,Gasoline,1.5L Turbo,1,Dealer
